2017-11-03 21:24:11,102 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 21:35:34,808 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 21:39:25,534 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 21:48:40,000 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 21:49:52,222 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 22:31:59,710 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 22:34:14,641 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 22:35:48,513 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 22:37:07,315 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 22:40:18,337 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-03 22:43:47,593 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
