2017-09-26 13:50:22,839 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 14:26:01,792 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 14:31:38,948 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 14:42:26,417 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 14:58:25,761 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 20:54:40,676 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 21:00:15,277 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 21:06:09,374 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 21:24:21,988 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 21:28:38,859 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-09-26 21:31:22,835 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
