2018-08-05 18:35:14,910 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 18:55:19,001 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:03:34,349 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:05:04,982 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:12:29,642 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:16:33,787 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:19:35,864 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:27:51,362 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:32:46,601 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 19:32:46,727 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 20:33:49,522 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 20:38:11,219 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 20:45:34,146 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 20:50:46,089 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 20:52:56,167 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:01:59,632 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:03:18,667 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:17:20,057 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:20:02,637 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:23:07,417 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:24:36,955 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:31:04,302 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:36:59,422 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-08-05 21:48:44,898 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
