2018-06-06 14:42:14,901 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 14:48:41,807 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 14:51:31,873 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 14:54:33,555 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 14:59:45,385 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 15:18:05,166 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 15:20:57,495 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 15:24:50,432 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-06-06 15:27:06,963 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
