2018-01-04 08:34:57,262 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 08:59:57,464 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 09:45:36,122 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:01:38,478 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:04:32,439 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:13:19,362 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:13:19,365 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:14:32,692 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:15:28,411 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:51:42,512 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2018-01-04 10:54:29,652 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
