2017-12-29 12:08:20,478 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 12:13:53,134 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 12:20:53,384 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 12:22:46,665 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 12:30:43,009 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 12:33:16,259 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 12:37:54,665 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 13:33:55,946 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 13:35:30,493 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-12-29 13:38:02,946 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
