2017-10-30 11:08:33,130 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 11:16:34,162 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 11:18:01,388 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 11:54:54,011 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 11:58:40,124 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 14:04:42,439 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 14:06:39,592 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 14:26:19,587 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 14:30:55,743 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 14:38:13,383 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 18:49:45,338 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 18:54:26,279 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 20:05:13,691 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-10-30 20:05:13,758 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
