2017-11-06 09:20:11,505 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 09:21:06,318 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 09:22:52,277 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 09:24:33,665 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 09:25:54,587 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 09:32:12,665 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 09:36:23,237 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 09:37:33,661 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-11-06 23:40:08,891 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
